Wavelength,Transmittance,Absorbance
342.1486,0.8358630880675887,0.07786485290330677
342.3798,0.8471774128826183,0.0720256317381633
342.611,0.8049083566324945,0.09425356369978875
342.8422,0.7873378887184492,0.10383884869081736
343.0734,0.7887425525243023,0.10306472842973577
343.3046,0.8073692156957226,0.09292781389072378
343.5358,0.8406022592826697,0.07540944707781237
343.767,0.8530258423290807,0.06903781172706662
343.9982,0.8282994249263036,0.0818126401639764
344.2294,0.8268935762224352,0.0825503819027053
344.4606,0.8139890494746707,0.08938143759816204
344.6918,0.8109951912677414,0.09098172089621308
344.923,0.8255677401214047,0.083247285873102
345.1542,0.813627484775365,0.08957438913562572
345.3854,0.7838404359954209,0.10577233632013802
345.6166,0.7915007945479268,0.10154864483497082
345.8478,0.8284885704537701,0.08171347858211882
346.079,0.8534903139612559,0.06880140321597021
346.3102,0.8033692743710319,0.09508478229601666
346.5414,0.830631664514895,0.0805915171679021
346.7726,0.9025362869839981,0.04453532801498423
347.0038,0.8915369081593486,0.04986067304033672
347.235,0.8622035182766572,0.06439020931207673
347.4662,0.8637489677952106,0.06361245861179679
347.69739999999996,0.9037453376647929,0.04395393017506272
347.92859999999996,0.8743169398907105,0.05833110707450465
348.15979999999996,0.8606626178837703,0.06516705981970967
348.39099999999996,0.8108321117258555,0.09106906009103409
348.62219999999996,0.8040419422896936,0.09472129599051678
348.85339999999997,0.8276943907795445,0.08212998797107603
349.08459999999997,0.8426158467523515,0.07437037752297725
349.31579999999997,0.8572221949984483,0.06690659283253819
349.54699999999997,0.8763101667255507,0.05734214970449099
349.77819999999997,0.853130203130203,0.06898468256548546
350.00939999999997,0.8522481464969205,0.06943393461891277
350.2406,0.8199441915112351,0.08621570632791359
350.4718,0.8054898093359631,0.09393994969188199
350.703,0.8278623971581294,0.08204184331312649
350.9342,0.8180218060920158,0.0872351191413808
351.1654,0.7846717654557042,0.10531197416201436
351.3966,0.7662709197539695,0.11561765575614844
351.6278,0.7970489215354629,0.09851502151373513
351.859,0.7820267686424474,0.10677838085993246
352.0902,0.7495735080754453,0.12518577097294706
352.3214,0.7402024272077516,0.13064949513768537
352.5526,0.7474896962174377,0.12639478950085906
352.7838,0.7784853894276386,0.10874953383510007
353.015,0.7943855915122786,0.09996864163183287
353.2462,0.7874882733422208,0.10375590466303951
353.4774,0.7511418841491956,0.12427802080807472
353.7086,0.7338532389800865,0.13439078459893508
353.9398,0.7325261158594493,0.13517688732680064
354.171,0.7605840593739916,0.1188527809471286
354.4022,0.7805527805527805,0.10759772485292804
354.6334,0.7892716535433071,0.10277349447170078
354.8646,0.7655243328352694,0.11604100033066529
355.0958,0.7472789282159233,0.12651726381444825
355.327,0.7478283544386316,0.12619807228853644
355.5582,0.76711579575399,0.11513907456313086
355.7894,0.7665840624420506,0.11544021412604856
356.0206,0.7781655118933225,0.10892802093182263
356.2518,0.8469037795303007,0.07216592897603112
356.483,0.8338721175046833,0.07890054758831713
356.7142,0.7821246819338422,0.10672400862865314
356.9454,0.7960548311601471,0.09905701762643832
357.1766,0.7626513327108008,0.11767396648595607
357.4078,0.8015766549080009,0.0960549396707817
357.639,0.808111658456486,0.09252862771403944
357.8702,0.7912775616083009,0.10167114945998584
358.1014,0.8020000000000002,0.09582563171583641
358.3326,0.8045302574389835,0.09445761795192247
358.5638,0.7878141534391534,0.10357622115913233
358.79499999999996,0.775787728026534,0.1102570946670171
359.02619999999996,0.7988899771465882,0.09751302745478357
359.25739999999996,0.8455967995138503,0.0728366694519365
359.48859999999996,0.8312338746395508,0.0802767666187512
359.71979999999996,0.8055459329275333,0.09390969069080096
359.95099999999996,0.8192914606484881,0.08656157170299608
360.18219999999997,0.8296445999901415,0.08110790921186864
360.41339999999997,0.8160111183670735,0.08830392382877136
360.64459999999997,0.8120389595043973,0.09042313394615877
360.87579999999997,0.8249350384674173,0.0835802496875733
361.10699999999997,0.8387046389337219,0.07639095486289653
361.3382,0.8475909036870977,0.0718137127678703
361.5694,0.8514696210856478,0.06983084227592501
361.8006,0.8686283716804925,0.06116598954545783
362.0318,0.8676977687626776,0.061631519311248696
362.263,0.8534294234592447,0.06883238816324717
362.4942,0.8156821624140744,0.08847903487297921
362.7254,0.8076523928613961,0.0927755158891841
362.9566,0.7995122771611167,0.09717486292163847
363.1878,0.7871028687913291,0.10396850470709723
363.419,0.7982301182725147,0.09787188974068523
363.6502,0.7805402237092756,0.10760471145504535
363.8814,0.747554640333224,0.12635705835075692
364.1126,0.7526299112801014,0.12341852579059152
364.3438,0.7885749406156044,0.10315702808106068
364.575,0.8076135344200138,0.092796411527959
364.8062,0.8004398302050835,0.09667130883155953
365.0374,0.7671223990009568,0.11513533622089672
365.2686,0.7868525568135001,0.1041066396375704
365.4998,0.8136771649457789,0.08954787188345516
365.731,0.8272332290580466,0.08237202876330742
365.9622,0.798315938082993,0.09782520011339106
366.1934,0.7750213857998289,0.11068631348502703
366.4246,0.7977436205544151,0.09813666011357199
366.6558,0.8221671622068055,0.08503987316157982
366.887,0.8632037314331941,0.06388669096492429
367.1182,0.8378198567041965,0.07684935087994586
367.3494,0.8334098912877046,0.0791413494436831
367.5806,0.8317155375800472,0.08002518522787123
367.8118,0.8083245362690392,0.09241423821923891
368.043,0.7932993197278911,0.1005629181310035
368.2742,0.8071461291800275,0.09304783163311008
368.5054,0.7758719549155486,0.11020994608983228
368.7366,0.7936848406245324,0.10035191463702278
368.9678,0.8032006633499169,0.09517594152240061
369.199,0.7867833898916377,0.10414481722569341
369.4302,0.7933222261490046,0.1005503781118461
369.6614,0.7948351779126502,0.09972292007849633
369.89259999999996,0.802142857142857,0.0957482794167803
370.12379999999996,0.8473044299421596,0.07196052297538337
370.35499999999996,0.8528452337803553,0.06912977330316415
370.58619999999996,0.8239668021680218,0.08409028578550617
370.81739999999996,0.8394890498450369,0.07598496435367737
371.04859999999996,0.8892724987163823,0.05096513829313062
371.27979999999997,0.8452238805970149,0.0730282410742973
371.51099999999997,0.8080504364694472,0.0925615308135965
371.74219999999997,0.8680426593091738,0.06145893122059562
371.97339999999997,0.8736140724946694,0.05868037880880083
372.20459999999997,0.8072356797278776,0.09299965057877956
372.4358,0.799450681829133,0.09720832274965305
372.667,0.8190509270745465,0.08668909377092113
372.8982,0.8096153846153845,0.0917212477991309
373.1294,0.8236812169985909,0.08424083743609721
