Distance_(pixels),IMG_6561,IMG_6562,IMG_6563,IMG_6564,IMG_6565,IMG_6566,IMG_6567,Average
1137,11.44,8.267,0.2733,20.273,11.413,11.467,12.673,10.82947143
1138,10.373,8.593,0.2533,20.767,10.973,10.78,12.647,10.62661429
1139,10.153,9.207,0.18,21.707,10.373,10.593,13.46,10.81042857
1140,11.207,9.773,0.2133,21.867,10.447,10.56,13.827,11.12775714
1141,11.727,9.953,0.2133,21.867,10.233,11.42,14,11.34475714
1142,11.707,9.287,0.2067,22.22,9.633,12.347,13.647,11.29252857
1143,11.887,8.213,0.26,22.593,8.787,12.487,13.527,11.10771429
1144,12.547,8.527,0.2667,23.733,9.12,12.927,13.913,11.57624286
1145,12.28,8.613,0.2467,23.613,8.587,12.547,14.013,11.41424286
1146,11.607,8.373,0.1533,22.353,8.953,12.513,13.98,11.13318571
1147,10.74,7.413,0.1533,20.673,9.853,12.587,13.653,10.72461429
1148,9.333,6.513,0.1133,19.6,9.947,12.7,13.133,10.19132857
1149,8.953,6.553,0.1533,19.887,10.093,12.873,12.933,10.20647143
1150,9.667,7.76,0.1867,19.72,10.687,12.913,12.9,10.54767143
1151,11.093,9.307,0.1867,19.327,10.813,13.033,13.007,10.96667143
1152,11.473,9.86,0.1133,19.807,11.22,12.513,13.993,11.28275714
1153,11.78,9.36,0.0667,19.353,10,12.68,13.507,10.96381429
1154,11.84,8.96,0.12,19.493,8.707,13.033,13.887,10.86285714
1155,12.16,8.193,0.2,20.873,8.753,13.62,13.767,11.08085714
1156,12.613,7.127,0.28,20.96,8.927,13.533,13.16,10.94285714
1157,13,7.053,0.2267,20.713,8.073,12.973,13.26,10.75695714
1158,12.893,8.08,0.1667,21.213,7.573,12.727,14,10.95038571
1159,12.333,8.573,0.1733,22.467,7.853,13.147,14.033,11.22561429
1160,12.107,9.273,0.1467,22.347,9.213,13.88,13.84,11.54381429
1161,12.32,8.553,0.0733,20.733,9.74,12.76,14.56,11.24847143
1162,12.707,8.4,0.1733,19.773,9.22,12.38,14.173,10.97518571
1163,12.28,8.873,0.2533,18.94,9.4,13.007,13.54,10.89904286
1164,11.507,9.307,0.32,18.1,10.667,13.853,13.213,10.99528571
1165,11.3,9.5,0.3333,18.947,11.28,13.72,13.173,11.17904286
1166,11.593,9.007,0.1933,20.013,10.227,13.173,12.933,11.0199
1167,11.94,8.327,0.1467,19.36,9.72,12.72,13.393,10.80095714
1168,12.927,8.247,0.1067,18.767,9.433,12.4,15.32,11.02867143
1169,12.893,8.6,0.1467,19.5,8.96,12.1,14.313,10.93038571
1170,12.42,9.007,0.1733,20.093,8.953,12.24,13.733,10.94561429
1171,11.593,9.027,0.1333,20.593,10.16,12.44,14.807,11.25047143
1172,11.393,9.173,0.12,21.307,11.34,11.9,14.973,11.458
1173,12.193,10.033,0.1867,22.327,11.207,12.327,13.64,11.70195714
1174,12.867,10.6,0.22,22.173,10.173,12.613,12.953,11.657
1175,12.547,10.213,0.1867,21.58,9.16,11.96,13.647,11.32767143
1176,11.7,10.06,0.18,21.42,9.007,12.167,13.693,11.17528571
1177,11.893,10.847,0.1667,21.58,9.14,11.54,14.027,11.31338571
1178,11.967,11.027,0.18,22.06,9.813,11.4,14.16,11.51528571
1179,11.887,11.06,0.2267,22.593,10.627,11.44,13.913,11.6781
1180,12.42,11.04,0.1867,22.36,10.487,11.313,13.22,11.57524286
1181,12.767,10.76,0.1467,21.58,10.007,12.573,12.867,11.52867143
1182,12.047,10.08,0.12,20.273,9.56,12.967,12.56,11.08671429
1183,11.02,9.787,0.14,19.193,9.3,11.807,12.62,10.55242857
1184,10.88,9.947,0.3,18.493,10.28,10.833,13.267,10.57142857
1185,10.853,9.273,0.26,18.193,9.52,10.647,13.713,10.35128571
1186,11.393,8.24,0.24,18.813,8.86,10.56,13.713,10.25985714
1187,12.233,7.947,0.2067,20.4,8.833,11.087,13.433,10.59138571
1188,12.86,8.667,0.2933,21.113,9.26,11.96,12.993,11.0209
1189,12.673,9.34,0.2533,20.967,9.48,12.68,13.513,11.27232857
1190,12.647,9.56,0.2733,19.947,9.853,12.373,13.933,11.22661429
1191,13.007,9.673,0.2667,18.853,10.167,11.273,14.173,11.05895714
1192,12.66,10.36,0.2533,17.807,11.12,10.907,13.573,10.95432857
1193,11.813,10.113,0.2,16.727,10.647,11.333,12.413,10.46371429
1194,10.9,9.947,0.12,17.4,10.207,12.147,11.687,10.344
1195,10.667,10.02,0.12,18.767,9.927,12.76,11.913,10.59628571
1196,10.52,9.647,0.0667,18.787,9.94,12.447,12.48,10.55538571
1197,10.48,9.267,0.1067,19.387,10.9,11.967,12.68,10.68395714
1198,10.56,8.5,0.16,19.627,10.907,11.287,12.553,10.51342857
1199,10.933,8.253,0.1933,18.5,9.407,10.707,12.587,10.0829
1200,11.233,7.773,0.48,19.373,8.073,10.373,12.76,10.00928571
1201,10.987,7.213,0.4067,20.967,7.953,9.947,12.02,9.927671429
1202,10.84,6.84,0.2867,21.62,8.233,10.587,12.22,10.08952857
1203,10.54,7.14,0.2133,19.893,8.153,11.647,12.673,10.03704286
1204,10.227,7.147,0.24,17.693,8.653,11.92,11.86,9.677142857
1205,10.86,6.88,0.3,17.973,9.467,11.927,11.867,9.896285714
1206,11.067,7.313,0.1933,18.613,9.233,11.413,12.753,10.08361429
1207,10.28,7.98,0.1333,18,7.927,10.4,12.953,9.667614286
1208,9.133,9.14,0.2667,18.607,7.44,11.047,13.173,9.829528571
1209,9.4,8.387,0.28,19.8,7.213,10.567,11.827,9.639142857
1210,9.96,7.24,0.3133,19.433,6.727,10.427,11.073,9.310471429
1211,10.647,6.333,0.3533,18.633,7.18,10.587,11.553,9.326614286
1212,10.867,6.133,0.32,18.7,7.967,11.113,11.793,9.556142857
1213,10.493,6.86,0.2733,18.567,8.293,11.393,11.327,9.6009
1214,9.747,7.3,0.2,18.107,7.787,11.46,11.533,9.447714286
1215,9.387,7.053,0.2333,18.573,7.573,11.28,12.307,9.486614286
1216,11.993,7.98,0.28,20.093,7.84,11.507,13.393,10.44085714
1217,12.06,8.293,0.2733,19.287,8.447,12.7,13.6,10.66575714
1218,11.94,8.567,0.18,18.827,8.673,12.887,13.68,10.67914286
1219,11.813,7.867,0.18,17.6,8.52,12.793,13.673,10.34942857
1220,11.193,6.98,0.0933,15.673,9.207,12.887,13.327,9.908614286
1221,9.987,7.187,0.0933,16.3,10.033,12.447,12.433,9.7829
1222,9.28,7.387,0.1133,17.907,10.007,11.133,11.947,9.682042857
1223,9.787,6.733,0.16,17.513,9.527,10.253,12.433,9.486571429
1224,10.453,6.993,0.26,17.58,8.173,12.46,12.553,9.781714286
1225,10.8,7.613,0.2333,19.453,7.733,12.62,13.52,10.28175714
1226,10.853,8.147,0.1533,19.873,7.473,12.133,13.647,10.32561429
1227,10.473,8.227,0.14,19.053,8.093,11.22,13.913,10.15985714
1228,10.2,7.893,0.1533,18.287,8.413,10.947,13.813,9.958042857
1229,10.34,7.16,0.1533,17.78,8.987,11.413,12.92,9.8219
1230,9.673,6.66,0.24,17.46,9.073,11.347,11.907,9.48
1231,9.093,6.78,0.28,17.947,8.727,10.827,11.993,9.378142857
1232,9.6,7.393,0.32,18.84,8.56,11.627,13.087,9.918142857
1233,10.7,7.453,0.3333,18.76,8.16,11.367,12.42,9.884757143
1234,12.02,7.827,0.2933,19.233,8.167,11.46,11.793,10.11332857
1235,11.54,8.167,0.2467,19.747,8.42,12.1,12.06,10.32581429
1236,10.647,8.3,0.2333,19.86,8.46,12.593,13.133,10.4609
1237,10.813,9.2,0.2333,20.253,8.867,12.367,14.233,10.85232857
1238,11.373,9.46,0.28,20.353,9.08,11.7,14.693,10.99128571
1239,11.067,8.9,0.4133,20.54,9.047,11.207,14.66,10.83347143
1240,11.4,7.407,0.3467,21.187,9.627,11.467,14.14,10.79638571
1241,12.227,6.833,0.2067,22.1,9.407,10.927,14,10.81438571
1242,12.607,7.013,0.1667,22.973,9.3,10.993,13.867,10.98852857
1243,11.3,6.973,0.1667,21.753,9.34,11.9,13.133,10.65224286
1244,9.22,6.92,0.1667,20.087,8.893,12.327,11.993,9.943814286
1245,9,7.333,0.2067,21.927,8.46,11.64,12.027,10.08481429
1246,9.173,7.913,0.1667,22.927,8.013,10.787,12.287,10.18095714
1247,8.867,7.4,0.1667,21.107,7.807,10.38,12.173,9.7001
1248,9.08,8.593,0.1733,19.853,8.96,12.527,12.28,10.20947143
1249,9.227,9.4,0.16,20.013,9.16,12.667,11.187,10.25914286
1250,9.947,9.293,0.1467,19.793,9.127,12.353,10.993,10.2361
1251,11.26,8.787,0.1733,20.033,8.927,12.233,11.933,10.47804286
1252,11.5,8.68,0.1467,20.247,8.673,12.06,13.013,10.6171
1253,10.327,8.86,0.12,20.66,8.247,11.92,13.02,10.45057143
1254,9.647,8.5,0.0933,20.72,7.607,11.34,13.24,10.1639
1255,10.54,8.187,0.0933,20.907,7.32,10.567,13.593,10.17247143
1256,11.82,7.793,0.0667,22.547,8.5,11.213,14.027,10.85238571
1257,10.56,8.193,0.12,23.393,8.813,11.78,13.84,10.957
1258,9.593,8.6,0.22,22.633,8.673,11.5,13.693,10.70171429
1259,9.447,8.64,0.2467,21.147,8.08,10.693,13.28,10.2191
1260,8.787,8.947,0.2667,20.653,7.513,10.713,12.487,9.909528571
1261,7.667,9.64,0.2667,21.473,7.86,11.807,12.32,10.14767143
1262,8.027,9.827,0.3067,20.86,7.853,12.3,12.233,10.20095714
1263,9.673,9.533,0.42,19.48,7.92,11.927,12.46,10.20185714
1264,11.473,9.507,0.1867,18.34,8.64,11.533,13.273,10.42181429
1265,11.833,9.26,0.2533,19.727,9.067,11.393,12.427,10.56575714
1266,11.213,8.66,0.28,21.507,8.927,11.4,12.027,10.57342857
1267,9.527,7.613,0.24,21.533,7.747,11.32,12.287,10.03814286
1268,8.6,7.667,0.1867,20.74,6.647,10.807,12.787,9.633528571
1269,9.127,8.433,0.2667,22.133,6.273,10.46,13.493,10.02652857
1270,10.46,9.247,0.2733,23.527,6.66,10.467,14.227,10.69447143
1271,11.48,9.947,0.22,22.927,7.127,10.767,13.96,10.91828571
1272,12.733,10.373,0.24,22.267,8.553,11.82,14.34,11.47514286
1273,13.173,9,0.2,21.693,8.987,11.607,14.32,11.28285714
1274,13.307,7.893,0.16,21.987,8.413,10.88,14.287,10.98957143
1275,12.987,7.94,0.12,22.333,7.9,10.8,14.267,10.90671429
1276,11.887,7.973,0.1667,20.873,7.707,11.407,14.153,10.59524286
1277,10.853,7.653,0.1733,18.76,7.46,11.187,13.587,9.953328571
1278,9.493,7.193,0.1333,17.853,6.74,10.547,13.387,9.335185714
1279,8.933,7.513,0.1533,18.493,6.893,10.513,13.733,9.461614286
1280,9.493,9.167,0.2467,20.213,7.093,11.033,13.947,10.17038571
1281,9.367,9.093,0.1667,20.447,7.967,11.453,13.693,10.31238571
1282,9.94,8.567,0.14,20.947,8.633,11.68,13.14,10.43528571
1283,10.787,8.387,0.1667,20.88,8.913,12.34,13.12,10.65624286
1284,10.68,9.227,0.16,20.653,8.793,12.88,13.773,10.88085714
1285,10.767,9.54,0.2,21.047,8.647,13.06,14.767,11.14685714
1286,10.973,9.313,0.1733,21.347,8.487,12.247,15.553,11.15618571
1287,10.813,9.227,0.28,21.213,8.573,11.407,15.567,11.01142857
1288,11.007,8.873,0.32,20.347,9.173,11.653,13.887,10.75142857
1289,11.373,8.173,0.3667,19.493,9.36,10.753,13.833,10.47881429
1290,10.34,7.707,0.4133,19.6,9.7,9.787,14.24,10.25532857
1291,9.287,7.66,0.2533,20.287,9.32,9.847,14.74,10.19918571
1292,8.833,7.72,0.1667,19.42,8.207,10.98,15.02,10.04952857
1293,8.72,7.787,0.18,18.247,8.153,11.813,16,10.12857143
1294,9.107,8.353,0.16,18.507,8,11.5,16.187,10.25914286
1295,10,9.327,0.1067,19.727,7.3,10.96,15.407,10.40395714
1296,10.733,9.853,0.2667,20.787,7.193,10.42,15.047,10.61424286
1297,10.493,9.54,0.2533,21.18,7.973,10.1,14.94,10.6399
1298,10.48,9.64,0.26,21.16,8.28,9.92,14.553,10.61328571
1299,10.76,9.593,0.22,20.653,7.94,10,15.48,10.66371429
1300,11.02,9.567,0.1467,20.26,7.233,10.467,16.573,10.75238571
1301,11.8,10.233,0.12,20.187,6.933,10.82,16.073,10.88085714
1302,11.96,9.747,0.1133,19.4,7.38,10.947,14.1,10.52104286
1303,11.373,8.133,0.14,18.607,7.94,10.96,12.873,10.00371429
1304,10.107,9.067,0.2133,18.387,9.407,12.347,13.687,10.45932857
1305,9.593,8.48,0.2133,17.373,9.053,12.573,14.333,10.23118571
1306,9.18,8.76,0.16,17.093,8.607,12.113,15.853,10.25228571
1307,9.027,8.447,0.2467,17.833,8.3,10.933,16.92,10.24381429
1308,8.94,7.787,0.1733,17.887,8.373,10.36,17.207,10.1039
1309,10.06,9.047,0.1933,17.627,8.54,10.987,17.16,10.51632857
1310,10.747,10.127,0.2133,17.607,7.84,11.62,16.867,10.71732857
1311,10.373,9.533,0.2667,18.2,7.247,11.6,16.447,10.52381429
1312,9.827,9.9,0.2533,17.62,7.6,10.567,16.26,10.28961429
1313,10.027,10.34,0.16,16.32,7.993,10.107,15.933,10.12571429
1314,10.347,10.4,0.1467,16.547,8.207,10.053,16.173,10.26767143
1315,10.293,10.64,0.0667,17.233,8.147,10.307,16.713,10.48567143
1316,9.593,10.907,0.1267,16.56,8.847,10.527,16.787,10.47824286
1317,9.747,10.693,0.1933,16.887,9.54,10.833,17.653,10.79232857
1318,10.347,9.507,0.2867,17.867,9.227,11.113,17.593,10.84867143
1319,10.527,8.593,0.34,17.787,8.227,10.813,16.267,10.36485714
1320,11.68,7.293,0.1667,18,8.187,10.387,15.373,10.15524286
1321,11.02,7.18,0.1067,18.653,8.253,10.733,16.32,10.32367143
1322,10.133,7.393,0.1267,18.48,8.047,11.047,16.947,10.31052857
1323,9.393,8.387,0.2333,17.073,7.507,10.667,17.22,10.06861429
1324,9.427,10.26,0.2067,15.333,6.667,9.5,17.753,9.8781
1325,9.987,11.247,0.1667,15.78,7.16,9.313,17.727,10.19724286
1326,11.267,10.493,0.1067,16.4,7.78,9.74,16.247,10.29052857
1327,12.28,9.173,0.2,16.52,7.747,9.927,14.46,10.04385714
1328,13.56,8.793,0.14,16.68,7.16,11.187,15.967,10.49814286
1329,13.493,8.66,0.16,17.593,8.087,12.147,17.067,11.02957143
1330,13.127,8.873,0.16,19.073,8.667,11.927,17.973,11.4
1331,12.633,9.147,0.16,20,8.52,10.527,18.427,11.34485714
1332,12.273,9.72,0.14,20.447,8.447,9.527,19.227,11.39728571
1333,11.627,10.393,0.14,22.107,8.94,9.967,19.32,11.78485714
1334,10.973,9.833,0.12,22.313,8.367,10.713,18.867,11.598
1335,10.573,8.153,0.08,20.753,7.44,10.96,18.12,10.86842857
1336,8.72,8.313,0.18,19.18,7.74,10.827,17.767,10.38957143
1337,8.44,8.533,0.18,18.627,7.4,10.993,18.08,10.32185714
1338,8.813,9.313,0.2,18.733,7.607,12.293,18.58,10.79128571
1339,9.707,9.34,0.2333,19.707,7.22,13.347,18.587,11.16304286
1340,11.093,8.84,0.1533,20.187,6.92,13.12,17.673,11.1409
1341,12.393,8.82,0.1333,20.027,8.6,12.193,17.56,11.38947143
1342,12.18,8.887,0.1067,18.52,9.593,11.52,17.473,11.18281429
1343,10.9,8.487,0.1333,17.187,8.827,11.06,17.133,10.53247143
1344,10.88,8.7,0.14,16.947,8.2,11.833,16.733,10.49042857
1345,10.753,8.52,0.1,17.153,7.813,11.333,17.933,10.515
1346,10.567,9.093,0.1933,17.433,7.793,11.313,18.12,10.64461429
1347,10,10.093,0.2333,17.873,7.793,11.233,18.227,10.7789
1348,9.407,10.213,0.18,19.28,7.773,11.127,18.947,10.98957143
1349,10.087,9.84,0.14,21.447,8.233,12.107,18.933,11.541
1350,10.987,10.067,0.18,21.913,8.387,12.78,17.573,11.69814286
1351,10.967,10.727,0.28,20.733,7.967,12.267,16.993,11.41914286
1352,10.947,10.847,0.26,19.513,7.433,11.96,17.52,11.21142857
1353,11.06,10.873,0.24,18.333,6.407,11.987,17.94,10.97714286
1354,11.46,10.933,0.22,18.473,5.293,12.507,18.9,11.11228571
1355,11.567,11.44,0.1933,19.807,5.053,12.893,18.92,11.41047143
1356,11.06,12.32,0.18,20.593,5.527,12.833,18.207,11.53142857
1357,10.573,12.753,0.1867,21.32,6.36,12.96,18.02,11.73895714
1358,10.04,12.507,0.1333,21.16,7,12.713,18.067,11.66004286
1359,10.073,11.713,0.1867,20.08,7.433,12.167,17.887,11.36281429
1360,9.933,10.86,0.2067,20.593,7.833,12.033,18.447,11.4151
1361,10.32,10.113,0.2067,20.16,8.08,13.273,18.453,11.5151
1362,11.013,9.993,0.1067,19.94,8.047,13.98,18.48,11.65138571
1363,11.553,10.393,0.1933,19.96,7.827,12.947,18.247,11.58861429
1364,11.54,10.92,0.2467,18.82,8.16,11.473,18.213,11.33895714
1365,11.52,11.42,0.2467,18.447,8.227,11.547,19.62,11.57538571
1366,11.113,11.887,0.2333,19.54,7.813,12.027,20.66,11.89618571
1367,10.253,12.027,0.1733,21.413,7.233,11.8,20.087,11.85518571
1368,10.68,11.253,0.2933,22.687,7.98,13.167,19.093,12.16475714
1369,9.987,10.88,0.2733,23.093,8.447,12.96,19.647,12.1839
1370,9.44,11.633,0.1867,23.26,9.36,13.113,20.387,12.48281429
1371,9.207,12.7,0.0667,23.56,9.647,12.513,20.667,12.62295714
1372,9.507,12.927,0.08,23.313,9.38,11.247,20.68,12.44771429
1373,11.093,12.713,0.18,22.86,9.293,11.807,20.307,12.60757143
1374,12.06,11.72,0.1267,21.947,9.173,12.473,20.48,12.56852857
1375,11.92,10.18,0.1533,21.873,8.353,12.08,20.907,12.20947143
1376,12.967,9.46,0.34,23.32,7.88,11.833,22.607,12.62957143
1377,12.653,9.367,0.24,23.66,7.573,11.913,22.733,12.59128571
1378,12.067,10.413,0.2,23.033,7.193,12.367,21.587,12.40857143
1379,11.873,11.553,0.2,22.213,7.607,13.393,20.827,12.52371429
1380,12.053,11.867,0.2,22.18,7.887,14.373,20.987,12.79242857
1381,11.9,11.78,0.2,23.26,7.82,14.613,21.553,13.018
1382,11.807,12.08,0.12,23.267,7.287,14.1,22.067,12.96114286
1383,12.267,11.98,0.06,22.473,7.053,13.733,22.767,12.90471429
1384,13.04,12.68,0.4133,23.26,7.38,13.773,23.247,13.39904286
1385,13,12.673,0.3533,24.107,7.467,13.467,22.053,13.3029
1386,12.193,12.313,0.2333,25.107,7.667,13.16,21.927,13.22861429
1387,11.787,12.173,0.3,24.533,8.22,13.42,22.433,13.26657143
1388,11.833,11.66,0.4,22.613,9.227,13.847,22.54,13.16
1389,11.413,11.167,0.34,22.553,9.54,14.007,23.14,13.16571429
1390,10.84,11.013,0.24,23.373,9.147,13.38,23.407,13.05714286
1391,11.233,11.667,0.08,23.607,8.613,12.913,22.28,12.91328571
1392,12.093,12.54,0.2533,24.947,8.793,13.207,23.4,13.60475714
1393,11.213,12.86,0.26,25.607,8.78,12.787,23.64,13.59242857
1394,10.407,12.427,0.34,25.36,9.633,12.907,23.527,13.51442857
1395,10.487,12.1,0.3533,25.027,10.453,14.22,22.933,13.65332857
1396,11.573,12.713,0.3067,25.373,10.547,15.56,23.033,14.15795714
1397,12.487,13.007,0.24,26.153,10.527,16.58,24.367,14.76585714
1398,12.473,12.6,0.2067,25.627,10.5,16.347,25.007,14.6801
1399,12.04,12.18,0.2267,24.293,10.14,15.333,24.46,14.0961
1400,11.713,13.16,0.16,22.253,9.627,14.46,23.68,13.579
1401,12.287,12.24,0.16,22.9,10.247,12.833,25.66,13.761
1402,12.687,12.507,0.1733,24.88,10.56,12.367,26.913,14.29818571
1403,12.84,13.32,0.2133,25.987,9.78,14.167,25.98,14.61247143
1404,12.6,13.127,0.1933,25.58,8.86,15.667,24.833,14.40861429
1405,12.107,12.86,0.1733,26.34,9.753,15.233,25.02,14.49804286
1406,11.867,12.713,0.1133,27.16,10.827,13.867,25.547,14.5849
1407,12.347,12.593,0.0733,26.367,10.82,13.127,26.013,14.47718571
1408,12.447,13.193,0.3133,25.467,9.533,13.32,26.287,14.36575714
1409,12.22,14.493,0.2467,24.287,9.96,13.513,26.687,14.48667143
1410,12.507,15.26,0.2267,24.107,10.393,13.46,26.927,14.69724286
1411,12.653,14.967,0.2467,24.62,10.967,13.927,26.567,14.84967143
1412,12.807,14.827,0.28,25.28,11.727,13.913,26.767,15.08585714
1413,13.153,15,0.34,26.573,12.087,14.533,27.327,15.57328571
1414,13.533,14.433,0.28,26.713,11.807,15.913,28.14,15.83128571
1415,13.507,13.513,0.36,25.153,11.133,15.88,28.087,15.37614286
1416,14.367,12.813,0.2333,25.353,11.193,14.027,27.967,15.13618571
1417,14.633,13.4,0.0933,25.38,10.913,14.013,28.8,15.3189
1418,14.707,14.053,0.32,24.793,11.147,14.66,29.18,15.55142857
1419,14.367,14.247,0.42,23.56,11.907,15.613,28.847,15.56585714
1420,14.373,14.093,0.48,22.533,12.353,16.08,28.753,15.52357143
1421,14.94,14.813,0.4933,22.307,12.953,15.793,29.153,15.7789
1422,14.92,15.34,0.3667,22.607,13.213,15.107,29.46,15.8591
1423,14.553,15.14,0.3,23.013,12.633,14.207,30.1,15.70657143
1424,14.367,16.947,0.32,25.313,11.953,15.413,30.327,16.37714286
1425,13.973,17.493,0.4,27.313,11.44,15.293,29.893,16.54357143
1426,14.173,18.493,0.46,28.18,11.487,15.52,30.193,16.92942857
1427,14.913,18.213,0.7,27.76,12.2,15.66,30.973,17.20271429
1428,15.74,16.927,0.68,27.173,12.633,15.707,31.053,17.13042857
1429,15.527,16.48,0.52,28.36,12.547,15.607,30.4,17.063
1430,14.8,17.7,0.5,28.44,12.413,16.3,30.607,17.25142857
1431,14.267,18.887,0.24,25.92,12.487,17.267,31.32,17.19828571
1432,15.233,18.673,0.2,24.233,12.033,17.193,33.247,17.25885714
1433,14.673,17.813,0.2,23.88,12.66,16.987,34.007,17.17428571
1434,14.88,18.373,0.16,23.987,14.12,16.247,34.987,17.53628571
1435,15.453,19.513,0.08,23.987,14.807,15.133,35.873,17.83514286
1436,15.647,19.7,0.1067,23.207,14.307,15.107,36.12,17.7421
1437,16.313,19.16,0.2467,23.073,14.233,16.673,36.753,18.06452857
1438,16.607,19.007,0.3333,23.553,13.76,17.82,37.107,18.31247143
1439,15.86,19.333,0.3133,24.407,12.78,18.187,37.64,18.36004286
1440,15.62,20.527,0.44,25.9,13.64,17.047,38.793,18.85242857
1441,16.24,20.58,0.38,25.473,14.26,15.847,41.847,19.23242857
1442,16.067,20.187,0.46,25.56,14.853,15.407,44,19.50485714
1443,15.24,19.46,0.5,26.427,14.947,16.027,45.98,19.79728571
1444,14.953,19.08,0.5133,27.413,15.247,17.08,49.527,20.54475714
1445,15.887,19.493,0.4267,29,15.42,17.447,56.747,22.0601
1446,16.353,20.167,0.2533,28.867,14.9,16.927,66.467,23.41918571
1447,15.727,20.387,0.2333,27.607,14.08,16.247,75.727,24.2869
1448,15.193,20.32,0.58,25.827,13.76,16.767,87.947,25.77057143
1449,15.527,19.913,0.1867,25.907,14.487,16.96,102.227,27.88681429
1450,15.707,20.553,0.2533,27.687,14.967,17.393,110.113,29.52475714
1451,16.08,20.66,0.4867,30.467,14.32,17.133,112.5,30.23524286
1452,16.367,19.927,0.1667,31.573,13.6,17.073,113.807,30.3591
1453,16.62,19.813,0.3267,32.02,14.207,17.793,112.833,30.5161
1454,16.633,20.12,0.6467,31.76,14.72,18.167,114.433,30.92567143
1455,16.84,19.773,0.4867,31.247,14.587,17.467,113.7,30.58581429
1456,17.173,19.967,0.2333,29.56,15.213,18.26,123.253,31.95132857
1457,17.6,20.153,0.2733,30.02,15.027,18.3,113.48,30.69332857
1458,17.647,20.52,0.2467,30.473,15.14,18.24,115.387,31.09338571
1459,17.687,20.28,0.2867,31.027,16.027,18.387,112.407,30.87167143
1460,17.16,20.56,0.22,32.307,16.413,19.18,111.653,31.07042857
1461,16.073,21.48,0.18,33.5,16.173,19.847,111.067,31.18857143
1462,15.68,21.613,0.18,33.527,15.6,19.76,113.06,31.34571429
1463,16.133,20.32,0.14,32.46,15.46,19.073,110.947,30.64757143
1464,18.733,21.62,0.5067,32.073,15.433,19.293,107.12,30.68267143
1465,18.92,21.947,0.7267,32.267,15.673,19.413,105.727,30.66767143
1466,18.007,22.893,0.9133,33.633,16.36,20.193,104.813,30.97318571
1467,16.8,23.66,1.0333,34.04,16.233,20.373,104.14,30.89704286
1468,16.287,23.333,0.8133,34,15.513,19.593,103.107,30.37804286
1469,16.647,22.347,0.6467,35.607,15.687,19.18,103.307,30.48881429
1470,17.713,21.407,0.5333,36.06,15.613,19.287,102.547,30.45147143
1471,19.04,21.787,0.42,33.973,15.033,19.74,101.073,30.15228571
1472,20.173,23.533,0.68,34.467,15.613,21.04,100.927,30.919
1473,20.367,24.1,0.7333,34.02,15.573,21.127,100.313,30.89047143
1474,20.033,24.88,0.7333,34.48,15.62,20.7,99.733,30.88275714
1475,19.693,25.593,0.7867,35.327,16.447,20.727,99.633,31.17238571
1476,19.927,25.367,0.82,35.82,17.053,20.827,99.427,31.32014286
1477,21.26,24.727,0.8333,36.633,16.727,20.2,98.953,31.33332857
1478,21.667,25.353,0.8667,36.96,15.98,19.853,98.333,31.28752857
1479,20.987,26.427,0.8733,36.58,15.773,20.973,98.44,31.43618571
1480,21.187,26.973,0.9733,35.92,17.293,22.74,98.12,31.88661429
1481,21.56,26.04,1.1,35.567,16.987,22.633,98,31.69814286
1482,22.44,26.687,1.3,36.247,16.613,22.247,97.753,31.89814286
1483,23.333,28.433,1.2067,36.713,16.853,21.507,98.033,32.29695714
1484,23.38,29.8,1.0667,35.587,17.753,20.507,98.347,32.34867143
1485,23.027,29.767,1.0867,35.133,18.28,20.36,98.253,32.27238571
1486,22.027,30.207,1.14,35.413,17.56,20.793,97.34,32.06857143
1487,21.193,31.327,1.16,35.813,17.187,21.713,96.587,32.14
1488,23.273,33.26,1.0133,37.573,19.453,24.687,96.887,33.73518571
1489,23.34,33.853,1.0667,38.673,21.38,26.067,96.927,34.47238571
1490,23.233,33.687,1.0467,38.613,22.413,26.513,97.06,34.65224286
1491,22.787,34.027,0.9467,38.633,21.8,27.827,97.107,34.73252857
1492,21.547,34.807,0.9267,39.093,21.467,30.28,96.753,34.98195714
1493,20.587,36.373,0.9733,38.753,22.013,33.413,97.547,35.66561429
1494,20.547,37.647,0.8733,38.053,22.467,37.513,97.667,36.39532857
1495,20.867,39.047,0.8267,37.84,21.96,42.687,97.453,37.2401
1496,22.113,40.84,1.0133,38.793,23.007,48.947,97.333,38.86375714
1497,23.36,44.04,0.9733,38.647,22.553,53.453,97.673,40.0999
1498,23.72,47.913,0.9733,39.08,22.153,59.353,98.08,41.61032857
1499,22.687,52.9,0.9933,40.58,22.313,65.373,97.947,43.25618571
1500,22.72,58.713,1.02,42.107,23.493,70.013,97.933,45.14271429
1501,23.54,66.84,1,43.1,24.787,74.513,98.407,47.45528571
1502,23.34,78.993,0.9333,43,24.48,79.253,98.72,49.81704286
1503,21.98,92.327,0.86,43.087,23.713,83.92,98.293,52.02571429
1504,22.26,103.093,0.7,42.893,23.34,88.647,99.22,54.30757143
1505,23.093,105.667,0.9067,42.74,24.58,91.127,99.8,55.41624286
1506,24.3,107.22,1.4867,43.02,25.407,92.853,100.467,56.39338571
1507,24.14,109.847,1.4533,44.54,25.773,95.127,100.513,57.3419
1508,24.287,110.1,1.7,45.72,26.413,97.147,100.247,57.94485714
1509,26.293,109.287,1.7533,46.433,26.933,98.247,100.76,58.52947143
