Distance_(pixels),IMG_6561,IMG_6562,IMG_6563,IMG_6564,IMG_6565,IMG_6566,IMG_6567,Average
86,6.26,5.02,0.3067,10.173,6.087,8.933,40.967,11.10667143
87,6.14,4.693,0.1867,10.873,5.213,8.66,39.527,10.7561
88,6.373,4.48,0.2333,12.22,5.067,9.84,39.307,11.07432857
89,5.313,4.353,0.1867,12.58,5.133,11.02,39.347,11.13324286
90,4.813,4.207,0.1333,13.187,5.073,12.307,39.713,11.34761429
91,5.18,3.993,0.1867,13.687,4.993,12.54,39.747,11.47524286
92,5.387,3.887,0.1667,13.607,5.12,11.793,39.353,11.33052857
93,4.893,3.967,0.2333,14.2,5.267,11.12,39.86,11.3629
94,4.867,4.393,0.2733,15.073,4.793,10.233,40.1,11.39032857
95,5.3,4.767,0.26,15.807,4.14,9.587,39.68,11.363
96,6.733,5.42,0.1867,16.88,5.113,9,39.767,11.87138571
97,6.94,5.68,0.1867,16.66,5.973,9.253,39.773,12.06652857
98,7.22,5.5,0.0533,15.507,6.693,9.253,39.633,11.9799
99,7.48,5.3,0.0533,13.727,6.18,9.227,39.647,11.65918571
100,7.527,5.387,0.0533,12.307,5.18,9.46,39.36,11.3249
101,7.773,5.787,0.1067,12.233,4.68,9.693,39.72,11.42752857
102,7.733,5.813,0.1067,12.433,4.633,9.247,39.587,11.36467143
103,7.773,5.58,0.1467,12.86,4.593,8.613,39.167,11.24752857
104,6.813,5.82,0.2867,13.907,5.013,9.24,39.3,11.48281429
105,6.807,6.44,0.2467,13.947,5.24,9.34,39.16,11.59724286
106,6.62,6.36,0.18,12.827,5.427,9.42,38.653,11.35528571
107,6.753,6.22,0.1,11.46,5.38,8.913,38.013,10.977
108,6.827,6.227,0.1067,10.473,5.36,8.647,37.847,10.78395714
109,6.847,5.66,0.1333,10.367,5.32,8.567,38.127,10.71732857
110,6.193,4.9,0.18,10.313,4.92,8.76,38.213,10.497
111,5.673,5.087,0.2467,11.18,4.593,9,37.987,10.5381
112,6.027,6.153,0.2067,13.993,4.827,9.1,38.887,11.31338571
113,6.32,6.133,0.2,15.707,4.767,9.48,39.047,11.66485714
114,6.627,5.373,0.2733,16.133,5.42,9.333,38.647,11.68661429
115,7.173,5.08,0.26,14.88,5.993,7.847,37.86,11.299
116,7.873,5.313,0.2,13.12,6.26,6.927,37.46,11.02185714
117,8.247,6.167,0.1933,12.147,5.653,7.933,37.667,11.1439
118,7.62,6.247,0.1867,11.493,4.553,9.06,37.72,10.98281429
