Wavelength,Transmittance,Absorbance
438.55899999999997,1.2114262031032312,-0.08329696320219473
438.79019999999997,1.2117713973754496,-0.083420697204402
439.02139999999997,1.2118758894917583,-0.08345814518603635
439.2526,1.2123004812273683,-0.08361027755722027
439.4838,1.2124278415893222,-0.08365590073235303
439.715,1.2125500091126735,-0.08369965921970483
439.9462,1.2129814740770357,-0.08385416791722716
440.1774,1.2136804142994086,-0.08410434359403214
440.4086,1.2136938270053828,-0.0841091430716676
440.6398,1.212770030601203,-0.08377845634096386
440.871,1.211687016764248,-0.08339045444585041
441.1022,1.2108701042991548,-0.0830975568409595
441.3334,1.2111630939359554,-0.08320262871464873
441.5646,1.2124505381919144,-0.08366403063226573
441.7958,1.2164280425627367,-0.08508642346640115
442.027,1.2223114166861198,-0.08718186819626081
442.2582,1.228638623241713,-0.08942416359391121
442.4894,1.234725074074197,-0.0915702676326964
442.7206,1.2401516443876175,-0.09347479346388668
442.9518,1.2433236506232286,-0.09458419491963428
443.183,1.2456831420245456,-0.09540758713026712
443.4142,1.2486145325206561,-0.09642838534202698
443.6454,1.2527512714668754,-0.0978648521974061
443.8766,1.2574129130603449,-0.09947791604443428
444.1078,1.2626461824356794,-0.10128166999860137
444.339,1.2670175102860972,-0.10278261691033959
444.5702,1.270934294515545,-0.10412309873108146
444.8014,1.2724082743104872,-0.10462648460673578
445.0326,1.2727293200555998,-0.10473604913211866
445.2638,1.2720092381400532,-0.10449026544657666
445.495,1.2708081131854303,-0.1040799788183263
445.7262,1.2676721063026062,-0.10300693427235928
445.9574,1.2646590167626377,-0.10197344479991187
446.1886,1.2607173820976585,-0.10061774069534034
446.4198,1.2585507539237255,-0.09987073415101087
446.651,1.2561064955124384,-0.09902646141768798
446.88219999999995,1.2534036773500372,-0.09809096453858633
447.11339999999996,1.2498025417163785,-0.09684140355452543
447.34459999999996,1.2467299194963986,-0.09577238196588574
447.57579999999996,1.2399430944719265,-0.09340175425584328
447.80699999999996,1.2315170651029919,-0.09044043422523429
448.03819999999996,1.2241073609839226,-0.08781950950736762
448.26939999999996,1.2154170168114262,-0.08472531252435225
448.50059999999996,1.204840486007831,-0.08092955261025711
448.73179999999996,1.194945147916202,-0.07734797013431485
448.96299999999997,1.1865886179627838,-0.07430017816655916
449.19419999999997,1.1781618647635272,-0.07120496120187152
449.42539999999997,1.169648232856361,-0.06805526901140521
449.65659999999997,1.1635608759929943,-0.0657891099400861
449.88779999999997,1.1575490036108054,-0.06353938547598154
450.11899999999997,1.1504326838170364,-0.06086121152955229
450.3502,1.1414656416600393,-0.05746284367380365
450.5814,1.1337631045809486,-0.05452231988231038
450.8126,1.123649445623968,-0.0506308418584487
451.0438,1.1141694211623971,-0.04695123489646944
451.275,1.1058535969601846,-0.04369763488827601
451.5062,1.097292627554187,-0.040322461289133534
451.7374,1.087720914840345,-0.03651747928424663
451.9686,1.0786298516687884,-0.03287243545486022
452.1998,1.0693630388584856,-0.029125169200257907
452.431,1.0598497244649112,-0.025244291243734465
