Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.26922031831634513,0.5698921665889264
1 mcg,375.23370000000006,0.2689427423151653,0.5703401710884168
1 mcg,375.46700000000004,0.2653521155361756,0.5761774455811385
1 mcg,375.7003,0.26607310660517774,0.5749990196358068
1 mcg,375.9336,0.25277726094017944,0.5972619964196083
1 mcg,376.16690000000006,0.24930882733386323,0.6032623440613439
1 mcg,376.40020000000004,0.26844185451024266,0.5711497695548106
1 mcg,376.6335,0.27463160552569515,0.5612494841584273
1 mcg,376.8668,0.2854942430202653,0.544402644860303
1 mcg,377.10010000000005,0.29827719977035233,0.5253799427236434
1 mcg,377.33340000000004,0.2774900184577211,0.5567526341870604
1 mcg,377.5667,0.2581035096415622,0.588206089963683
1 mcg,377.8,0.2569269928559779,0.5901902661790536
1 mcg,378.03330000000005,0.2661942233103642,0.574801373397985
1 mcg,378.26660000000004,0.264060523962183,0.5782965193035853
1 mcg,378.4999,0.2570291916503233,0.5900175496154073
1 mcg,378.7332,0.2823083191269356,0.5492763237741284
1 mcg,378.96650000000005,0.2881893654926225,0.5403220491746485
1 mcg,379.19980000000004,0.2639304615428499,0.5785104827753588
1 mcg,379.4331,0.2381284313896897,0.6231887488265189
1 mcg,379.6664,0.21995268786715588,0.6576707264866574
1 mcg,379.89970000000005,0.22673844254496395,0.6444748408361991
1 mcg,380.13300000000004,0.24340966411854298,0.6136621829258546
1 mcg,380.3663,0.23762853818188773,0.6241014036291621
1 mcg,380.5996,0.24109643057937397,0.617809219283088
1 mcg,380.83290000000005,0.2724743425877851,0.5646743865879257
1 mcg,381.06620000000004,0.2764145641512021,0.5584390779264076
1 mcg,381.2995,0.26743012103852387,0.572789679108051
1 mcg,381.5328,0.27057853993351005,0.5677066510423151
1 mcg,381.76610000000005,0.2736304463659966,0.5628355810999963
1 mcg,381.99940000000004,0.2756416856679515,0.5596551028509089
1 mcg,382.2327,0.2752637011054511,0.5602510550395746
1 mcg,382.466,0.28796762354247957,0.5406563376131851
1 mcg,382.69930000000005,0.2830428595295122,0.5481477968155889
1 mcg,382.93260000000004,0.266115710732393,0.5749294851518318
1 mcg,383.1659,0.2505807007666237,0.6010523805618101
1 mcg,383.3992,0.23638464951149535,0.6263807293513081
1 mcg,383.63250000000005,0.2393947332673107,0.6208854083912001
1 mcg,383.86580000000004,0.26163087530781176,0.5823110058195761
1 mcg,384.0991,0.26594626937218163,0.5752060974751525
1 mcg,384.3324,0.2710280525122399,0.566985755543492
1 mcg,384.56570000000005,0.2711827021702346,0.5667380161014518
1 mcg,384.79900000000004,0.2698475533735743,0.568881515198074
1 mcg,385.0323,0.26706044097024534,0.5733904382261198
1 mcg,385.2656,0.2611704120709078,0.5830760257208063
1 mcg,385.49890000000005,0.26571245379077596,0.5755880899786517
1 mcg,385.73220000000003,0.28538570949458036,0.5445677776931052
1 mcg,385.9655,0.2663894489415944,0.5744829805422358
1 mcg,386.1988,0.2595668927681776,0.5857507017214887
1 mcg,386.43210000000005,0.2575012441463304,0.5892206682749042
1 mcg,386.66540000000003,0.2755965012166484,0.5597263002330192
1 mcg,386.8987,0.30201361442969626,0.5199734791010576
1 mcg,387.132,0.3020223513602172,0.5199609156083878
1 mcg,387.36530000000005,0.29344422389275365,0.5324744346465488
