Nanometers   Percentual
-----------------------
546.3,26.2
546.8,26.5
547.4,27.7
547.9,29.8
548.5,32.0
549.0,33.9
549.6,33.3
550.1,31.8
550.7,29.5
551.2,28.1
551.8,27.9
552.3,27.7
552.9,27.6
553.4,27.6
554.0,27.5
554.5,27.7
555.1,27.8
555.6,28.1
556.2,27.6
556.7,27.6
557.3,27.9
557.8,28.0
558.4,28.1
558.9,27.9
559.5,27.9
560.0,27.5
560.6,26.8
561.1,26.7
561.7,26.7
562.2,25.6
562.8,26.2
563.3,26.2
563.9,26.2
564.4,26.4
565.0,26.6
565.5,26.2
566.1,26.0
566.6,25.8
567.2,25.1
567.7,25.1
568.3,24.1
568.8,23.5
569.4,23.4
569.9,22.9
570.5,22.7
571.0,23.2
571.6,23.0
572.1,22.1
572.7,21.0
573.2,20.7
573.8,19.9
574.3,18.8
574.9,17.7
575.4,17.1
576.0,15.9
576.5,14.6
577.1,13.8
577.6,13.8
578.2,14.1
578.7,15.3
579.3,17.9
579.8,20.7
580.4,22.1
580.9,21.9
581.5,21.7
582.0,22.1
582.6,22.2
583.1,21.6
583.7,20.8
584.2,20.3
584.8,20.4
585.3,20.5
585.9,20.6
586.4,20.4
587.0,20.1
587.5,19.9
588.1,20.3
588.6,21.7
589.2,23.3
589.7,25.4
590.3,27.0
590.8,27.7
591.4,26.3
591.9,23.9
592.5,21.4
593.0,19.8
593.6,19.2
594.1,19.7
594.7,21.2
595.2,22.9
595.8,24.5
596.3,25.3
596.9,24.9
597.4,24.0
598.0,22.1
598.5,19.7
599.1,18.3
599.6,17.9
600.2,18.2
600.7,19.0
601.3,19.8
601.8,21.1
602.4,22.6
602.9,23.4
603.5,23.2
604.0,22.5
604.6,21.5
605.1,20.6
605.7,19.8
606.2,18.9
606.8,18.3
607.3,18.1
607.9,17.6
608.4,17.0
609.0,16.6
609.5,15.3
610.1,14.0
610.6,12.8
611.2,12.1
611.7,12.1
612.3,12.9
612.8,14.1
613.4,16.5
613.9,19.8
614.5,23.1
615.0,24.6
615.6,24.9
616.1,23.8
616.7,22.2
617.2,20.3
617.8,18.9
618.3,18.4
618.9,18.1
619.4,18.1
620.0,17.4
620.5,16.8
621.1,16.5
621.6,16.4
622.2,16.5
622.7,16.7
623.3,17.0
623.8,17.3
624.4,17.5
624.9,17.9
625.5,17.9
626.0,18.5
626.6,18.7
627.1,19.1
627.6,19.6
628.2,20.1
628.7,19.9
629.3,20.0
629.8,20.0
630.4,20.0
630.9,20.2
631.5,20.1
632.0,20.1
632.6,20.0
633.1,20.3
633.7,21.0
634.2,22.3
634.8,23.3
635.3,24.0
635.9,24.4
636.4,23.6
637.0,22.5
637.5,21.1
638.1,19.8
638.6,19.6
639.2,19.3
639.7,19.4
640.3,20.4
640.8,20.6
641.4,21.0
641.9,20.9
642.5,20.4
643.0,19.2
643.6,18.1
644.1,17.0
644.7,15.7
645.2,14.8
645.8,14.3
646.3,14.1
646.9,14.5
647.4,14.4
648.0,14.2
648.5,14.4
649.1,14.1
649.6,14.4
650.2,14.7
650.7,14.9
651.3,15.3
651.8,15.4
652.4,16.3
652.9,17.0
653.5,17.3
654.0,17.9
654.6,18.6
655.1,19.4
655.7,20.6
656.2,21.0
656.8,21.7
657.3,21.9
657.9,22.6
658.4,22.6
659.0,22.7
659.5,22.5
660.1,23.2
660.6,23.0
661.2,23.6
661.7,24.0
662.3,24.5
662.8,23.8
663.4,24.1
663.9,23.8
664.5,23.6
665.0,23.4
665.6,23.5
666.1,23.6
666.7,23.1
667.2,24.4
667.8,25.2
668.3,24.8
668.9,25.6
669.4,26.6
670.0,26.0
670.5,26.3
671.1,27.6
671.6,27.6
672.2,28.1
672.7,28.6
673.3,28.4
673.8,29.2
674.4,29.5
674.9,30.5
675.5,30.8
676.0,31.5
676.6,31.8
677.1,31.6
677.7,31.4
678.2,32.3
678.8,33.0
679.3,33.6
679.9,32.6
680.4,32.5
681.0,32.8
681.5,32.7
682.1,33.6
682.6,33.7
683.2,33.5
683.7,34.1
684.3,34.3
684.8,34.2
685.4,33.6
685.9,34.9
686.5,35.0
687.0,34.6
687.6,34.7
688.1,34.8
688.7,34.9
689.2,34.5
689.8,35.6
690.3,36.0
690.9,36.5
691.4,37.3
692.0,38.7
692.5,37.4
693.1,37.0
693.6,37.7
694.2,37.8
694.7,37.9
695.3,38.3
695.8,38.5
696.4,38.6
696.9,39.7
697.5,39.6
698.0,40.7
698.6,39.4
699.1,39.4
699.7,40.7
700.2,40.3
700.8,39.8
701.3,39.7
701.9,40.7
702.4,40.9
703.0,40.4
703.5,40.6
704.1,40.4
704.6,41.6
705.2,41.2
705.7,41.0
706.3,41.2
706.8,41.2
707.4,41.7
707.9,42.7
708.5,43.3
709.0,43.0
709.6,43.7
710.1,43.4
710.7,43.1
711.2,44.6
711.8,45.3
712.3,46.2
712.9,46.7
713.4,46.2
714.0,46.3
714.5,45.6
715.1,44.9
715.6,45.3
716.2,44.8
716.7,45.7
717.3,44.8
717.8,45.4
718.4,45.5
718.9,45.3
719.5,44.4
720.0,45.9
720.6,46.0
721.1,47.0
721.7,48.5
722.2,48.0
722.8,48.0
723.3,45.7
723.9,46.1
724.4,47.0
725.0,46.2
725.5,46.7
726.1,45.8
726.6,45.5
727.2,46.7
727.7,45.3
728.2,46.5
728.8,47.2
729.3,46.7
729.9,47.4
730.4,46.8
731.0,47.1
731.5,47.5
732.1,48.2
732.6,48.2
733.2,47.3
733.7,48.0
734.3,46.2
734.8,46.3
735.4,47.3
735.9,47.0
736.5,46.4
737.0,46.2
737.6,45.8
738.1,45.4
738.7,46.9
739.2,46.7
739.8,46.0
740.3,46.9
740.9,47.4
741.4,46.5
742.0,48.0
742.5,46.7
743.1,46.4
743.6,47.5
744.2,44.7
744.7,46.7
745.3,46.1
745.8,45.5
746.4,47.1
746.9,48.1
747.5,47.6
748.0,47.6
748.6,48.0
749.1,47.5
749.7,47.8
750.2,47.3
750.8,47.7
751.3,48.5
751.9,48.5
752.4,48.0
753.0,48.1
753.5,49.7
754.1,49.8
754.6,49.3
755.2,50.0
755.7,48.1
756.3,49.2
756.8,50.3
757.4,49.2
757.9,49.0
758.5,49.5
759.0,49.0
759.6,50.3
760.1,50.1
760.7,50.3
761.2,51.6
761.8,51.3
762.3,50.7
762.9,51.2
763.4,49.1
764.0,49.2
764.5,49.5
765.1,49.5
765.6,49.1
766.2,47.6
766.7,49.6
767.3,50.2
767.8,49.3
768.4,50.1
768.9,49.9
769.5,49.3
770.0,50.2
770.6,49.9
771.1,49.1
771.7,48.1
772.2,48.6
772.8,49.0
773.3,49.5
773.9,49.8
774.4,50.9
775.0,50.8
775.5,48.8
776.1,48.7
