Wavelength,Transmittance,Absorbance
849.6325999999999,0.5843895966029722,0.23329752404872356
849.8637999999999,0.5779997868712701,0.23807232171900106
850.095,0.5799720635742442,0.2365929252780127
850.3262,0.586247696317379,0.2319188508501926
850.5573999999999,0.5861542404956287,0.23198808879069652
850.7885999999999,0.5846575162755611,0.2330984627172272
851.0198,0.5908219585550449,0.228543372022804
851.251,0.5999518749195581,0.22188358510822082
851.4821999999999,0.5994089050933594,0.22227680926461746
851.7133999999999,0.5819897632757515,0.2350846541678989
851.9446,0.5704265748852729,0.2438002498862313
852.1758,0.5721349256232975,0.24250154018660436
852.4069999999999,0.5811677282377916,0.23569850971705514
852.6381999999999,0.5736623567749393,0.241343647208882
852.8694,0.5887661141804788,0.23005719331715904
853.1006,0.6149606299212595,0.21115268707865675
853.3317999999999,0.6432209469153511,0.19163982094240792
853.5629999999999,0.6209803921568625,0.2069221127260246
853.7942,0.6003557927507224,0.2215912945621162
854.0254,0.5858649093904444,0.23220251345259607
854.2565999999999,0.5725216234198268,0.24220810592332923
854.4877999999999,0.5606635336242585,0.25129769013083303
854.719,0.5646848125432947,0.24819389265508005
854.9502,0.591152753333103,0.22830028331869062
855.1813999999999,0.5980645015327879,0.22325197462509982
855.4125999999999,0.6032634581225028,0.21949298069452847
855.6438,0.6155896144839275,0.21070871569300967
855.875,0.6306654539942396,0.2002009577344114
856.1062,0.6379869551270625,0.1951882011757854
856.3373999999999,0.6398037756848794,0.19395320133495306
856.5686000000001,0.6290606351912644,0.20130749086667174
856.7998,0.6076261854864488,0.21636351860249367
857.031,0.5768124750279965,0.23896535547095601
857.2621999999999,0.578026454222717,0.2380522850050049
857.4934000000001,0.5944213262463424,0.22590561764425326
857.7246,0.614963536835979,0.21115063417644347
857.9558,0.6252546455396005,0.20394307284860902
858.1869999999999,0.6254759627107831,0.2037893757589813
858.4182000000001,0.6399827189672036,0.19383175282628662
858.6494,0.6510578658372685,0.1863804097467488
858.8806,0.6664296649307886,0.17624567932485175
859.1117999999999,0.6643565805634569,0.1775987588785062
859.3430000000001,0.6657460875387058,0.17669137714639035
859.5742,0.6701403225912157,0.17383424961817814
859.8054,0.6642351075194817,0.177678173906191
860.0365999999999,0.6553520569363616,0.18352533312387895
860.2677999999999,0.6571681715722678,0.18232347878120408
860.499,0.6608103547535381,0.17992316033493616
860.7302,0.6569644764957261,0.18245811305662743
860.9613999999999,0.6404790103961043,0.19349509826670427
861.1925999999999,0.631695267810712,0.19949237650343632
861.4238,0.6433411519416208,0.1915586676427666
861.655,0.6682609273282843,0.1750539309783459
861.8861999999999,0.6827681334948188,0.1657267566995325
862.1173999999999,0.6811629661345237,0.16674897204330824
862.3486,0.657090195135633,0.18237501314772825
862.5798,0.637317425743869,0.19564420673440946
862.8109999999999,0.6287227758617399,0.20154080678531353
863.0421999999999,0.6379012181448467,0.1952465685140952
863.2734,0.6509795584417254,0.1864326485982341
863.5046,0.6567330013293384,0.18261115953832824
863.7357999999999,0.6594950129319364,0.18078848421819202
